"DX2TRBMD.Code.or.Value","DX2TRBMD.Value.Description","DX2TRBMD.Count","DX2TRBMD.Cumulative","DX2TRBMD.Skip.to.Item"
"0.65 to 1.382","Range of Values",443,443,NA
".","Missing",42,485,NA
