"URXUAS3.Code.or.Value","URXUAS3.Value.Description","URXUAS3.Count","URXUAS3.Cumulative","URXUAS3.Skip.to.Item"
"0.85 to 27.5","Range of Values",2871,2871,NA
".","Missing",70,2941,NA
