"RHQ586U.Code.or.Value","RHQ586U.Value.Description","RHQ586U.Count","RHQ586U.Cumulative","RHQ586U.Skip.to.Item"
"1","Months",14,14,NA
"2","Years",33,47,NA
"7","Refused",0,47,NA
"9","Don't know",0,47,NA
".","Missing",3239,3286,NA
