"DS2TPOTA.Code.or.Value","DS2TPOTA.Value.Description","DS2TPOTA.Count","DS2TPOTA.Cumulative","DS2TPOTA.Skip.to.Item"
"0.5 to 2260","Range of Values",638,638,NA
".","Missing",8906,9544,NA
