"DR2TM201.Code.or.Value","DR2TM201.Value.Description","DR2TM201.Count","DR2TM201.Cumulative","DR2TM201.Skip.to.Item"
"0 to 2.711","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
