"OHQ780H.Code.or.Value","OHQ780H.Value.Description","OHQ780H.Count","OHQ780H.Cumulative","OHQ780H.Skip.to.Item"
"17","Unable to take time off from work",79,79,NA
".","Missing",9225,9304,NA
