"WBXP022.Code.or.Value","WBXP022.Value.Description","WBXP022.Count","WBXP022.Cumulative","WBXP022.Skip.to.Item"
"-157.9258 to 150.0244","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
