"MCQ010.Code.or.Value","MCQ010.Value.Description","MCQ010.Count","MCQ010.Cumulative","MCQ010.Skip.to.Item"
"1","Yes",1325,1325,""
"2","No",7563,8888,"MCQ053"
"7","Refused",0,8888,"MCQ053"
"9","Don't know",9,8897,"MCQ053"
".","Missing",0,8897,""
