"VIXKRD2.Code.or.Value","VIXKRD2.Value.Description","VIXKRD2.Count","VIXKRD2.Cumulative","VIXKRD2.Skip.to.Item"
"36.5 to 68.75","Range of Values",6432,6432,NA
"88","Could not obtain",72,6504,NA
".","Missing",413,6917,NA
