"RDQ135.Code.or.Value","RDQ135.Value.Description","RDQ135.Count","RDQ135.Cumulative","RDQ135.Skip.to.Item"
"1","Not at all,",782,782,NA
"2","A little,",309,1091,NA
"3","A fair amount,",108,1199,NA
"4","A moderate amount, or",43,1242,NA
"5","A lot?",90,1332,NA
"7","Refused",0,1332,NA
"9","Don't know",0,1332,NA
".","Missing",8313,9645,NA
