"LBDNENO.Code.or.Value","LBDNENO.Value.Description","LBDNENO.Count","LBDNENO.Cumulative","LBDNENO.Skip.to.Item"
"0.4 to 35.2","Range of Values",7523,7523,NA
".","Missing",843,8366,NA
