"URXMX5.Code.or.Value","URXMX5.Value.Description","URXMX5.Count","URXMX5.Cumulative","URXMX5.Skip.to.Item"
"0.004 to 280","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
