"MCQ300B.Code.or.Value","MCQ300B.Value.Description","MCQ300B.Count","MCQ300B.Cumulative","MCQ300B.Skip.to.Item"
"1","Yes",1016,1016,NA
"2","No",3845,4861,NA
"7","Refused",0,4861,NA
"9","Don't know",118,4979,NA
".","Missing",4843,9822,NA
