"DR2IPROT.Code.or.Value","DR2IPROT.Value.Description","DR2IPROT.Count","DR2IPROT.Cumulative","DR2IPROT.Skip.to.Item"
"0 to 247.64","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
