"DR2IKCAL.Code.or.Value","DR2IKCAL.Value.Description","DR2IKCAL.Count","DR2IKCAL.Cumulative","DR2IKCAL.Skip.to.Item"
"0 to 3921","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
