"LBX170LA.Code.or.Value","LBX170LA.Value.Description","LBX170LA.Count","LBX170LA.Cumulative","LBX170LA.Skip.to.Item"
"1.6 to 167","Range of Values",2301,2301,NA
".","Missing",246,2547,NA
