"URX4MDA.Code.or.Value","URX4MDA.Value.Description","URX4MDA.Count","URX4MDA.Cumulative","URX4MDA.Skip.to.Item"
"0.034 to 18.8","Range of Values",2831,2831,NA
".","Missing",448,3279,NA
