"AUXR6KR.Code.or.Value","AUXR6KR.Value.Description","AUXR6KR.Count","AUXR6KR.Cumulative","AUXR6KR.Skip.to.Item"
"0 to 100","Range of Values",10,10,NA
"666","No response",3,13,NA
"888","Could not obtain",0,13,NA
".","Missing",3021,3034,NA
