"DXDTOBMC.Code.or.Value","DXDTOBMC.Value.Description","DXDTOBMC.Count","DXDTOBMC.Cumulative","DXDTOBMC.Skip.to.Item"
"634.7 to 4900.82","Range of Values",4524,4524,NA
".","Missing",1168,5692,NA
