"DR2IRET.Code.or.Value","DR2IRET.Value.Description","DR2IRET.Count","DR2IRET.Cumulative","DR2IRET.Skip.to.Item"
"0 to 7947","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
