"DMDHREDU.Code.or.Value","DMDHREDU.Value.Description","DMDHREDU.Count","DMDHREDU.Cumulative","DMDHREDU.Skip.to.Item"
"1","Less Than 9th Grade",966,966,NA
"2","9-11th Grade (Includes 12th grade with no diploma)",1430,2396,NA
"3","High School Grad/GED or Equivalent",2003,4399,NA
"4","Some College or AA degree",2665,7064,NA
"5","College Graduate or above",2294,9358,NA
"7","Refused",3,9361,NA
"9","Don't Know",33,9394,NA
".","Missing",362,9756,NA
