"DSQIPOTA.Code.or.Value","DSQIPOTA.Value.Description","DSQIPOTA.Count","DSQIPOTA.Cumulative","DSQIPOTA.Skip.to.Item"
"0.1 to 1370","Range of Values",1034,1034,NA
".","Missing",8083,9117,NA
