"BIXS067K.Code.or.Value","BIXS067K.Value.Description","BIXS067K.Count","BIXS067K.Cumulative","BIXS067K.Skip.to.Item"
"257.75 to 928.89","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
