"BPQ080.Code.or.Value","BPQ080.Value.Description","BPQ080.Count","BPQ080.Cumulative","BPQ080.Skip.to.Item"
"1","Yes",1960,1960,"BPQ070"
"2","No",4323,6283,""
"7","Refused",0,6283,""
"9","Don't know",44,6327,""
".","Missing",0,6327,""
