"LBDSCASI.Code.or.Value","LBDSCASI.Value.Description","LBDSCASI.Count","LBDSCASI.Cumulative","LBDSCASI.Skip.to.Item"
"1.625 to 2.825","Range of Values",5974,5974,NA
".","Missing",575,6549,NA
