"URDSISLC.Code.or.Value","URDSISLC.Value.Description","URDSISLC.Count","URDSISLC.Cumulative","URDSISLC.Skip.to.Item"
"0","At or above detection limit",1,1,NA
"1","Below lower detection limit",2444,2445,NA
".","Missing",249,2694,NA
