"CDQ008.Code.or.Value","CDQ008.Value.Description","CDQ008.Count","CDQ008.Cumulative","CDQ008.Skip.to.Item"
"1","Yes",263,263,NA
"2","No",775,1038,NA
"7","Refused",0,1038,NA
"9","Don't know",4,1042,NA
".","Missing",2724,3766,NA
