"URDTNE2.Code.or.Value","URDTNE2.Value.Description","URDTNE2.Count","URDTNE2.Cumulative","URDTNE2.Skip.to.Item"
"0.0002 to 370.5","Range of Values",2335,2335,NA
".","Missing",127,2462,NA
