"DXXOFBMD.Code.or.Value","DXXOFBMD.Value.Description","DXXOFBMD.Count","DXXOFBMD.Cumulative","DXXOFBMD.Skip.to.Item"
"0.362 to 1.563","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
