"URXMX1.Code.or.Value","URXMX1.Value.Description","URXMX1.Count","URXMX1.Cumulative","URXMX1.Skip.to.Item"
"0.098 to 1380","Range of Values",2398,2398,NA
".","Missing",107,2505,NA
