"DS1TFA.Code.or.Value","DS1TFA.Value.Description","DS1TFA.Count","DS1TFA.Cumulative","DS1TFA.Skip.to.Item"
"2 to 12000","Range of Values",1495,1495,NA
".","Missing",8049,9544,NA
