"DR1IPFAT.Code.or.Value","DR1IPFAT.Value.Description","DR1IPFAT.Count","DR1IPFAT.Cumulative","DR1IPFAT.Skip.to.Item"
"0 to 80.843","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
