"DIQ080.Code.or.Value","DIQ080.Value.Description","DIQ080.Count","DIQ080.Cumulative","DIQ080.Skip.to.Item"
"1","Yes",173,173,NA
"2","No",582,755,NA
"7","Refused",0,755,NA
"9","Don't know",14,769,NA
".","Missing",8897,9666,NA
