"TYXP097.Code.or.Value","TYXP097.Value.Description","TYXP097.Count","TYXP097.Cumulative","TYXP097.Skip.to.Item"
"-284 to 87","Range of Values",8463,8463,NA
".","Missing",6,8469,NA
