"LBXP1.Code.or.Value","LBXP1.Value.Description","LBXP1.Count","LBXP1.Cumulative","LBXP1.Skip.to.Item"
"0.07 to 73.97","Range of Values",1746,1746,NA
".","Missing",230,1976,NA
