"WHQ530.Code.or.Value","WHQ530.Value.Description","WHQ530.Count","WHQ530.Cumulative","WHQ530.Skip.to.Item"
"1","never,",429,429,NA
"2","sometimes, or",281,710,NA
"3","a lot?",47,757,NA
"7","Refused",0,757,NA
"9","Don't know",1,758,NA
".","Missing",702,1460,NA
