"WBXA046.Code.or.Value","WBXA046.Value.Description","WBXA046.Count","WBXA046.Cumulative","WBXA046.Skip.to.Item"
"-1.9715 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
