"LBXSUA.Code.or.Value","LBXSUA.Value.Description","LBXSUA.Count","LBXSUA.Cumulative","LBXSUA.Skip.to.Item"
"0.4 to 13.3","Range of Values",6859,6859,NA
".","Missing",510,7369,NA
