"RHQ420.Code.or.Value","RHQ420.Value.Description","RHQ420.Count","RHQ420.Cumulative","RHQ420.Skip.to.Item"
"1","Yes",1666,1666,""
"2","No",1542,3208,"RHQ510"
"7","Refused",0,3208,"RHQ510"
"9","Don't know",6,3214,"RHQ510"
".","Missing",383,3597,""
