"LBXSGTSI.Code.or.Value","LBXSGTSI.Value.Description","LBXSGTSI.Count","LBXSGTSI.Cumulative","LBXSGTSI.Skip.to.Item"
"5 to 1681","Range of Values",6425,6425,NA
"4","Below Detection Limit Fill Value",7,6432,NA
".","Missing",548,6980,NA
