"AUDTYR65.Code.or.Value","AUDTYR65.Value.Description","AUDTYR65.Count","AUDTYR65.Cumulative","AUDTYR65.Skip.to.Item"
"0 to 0.88","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
