"DR1IPFAT.Code.or.Value","DR1IPFAT.Value.Description","DR1IPFAT.Count","DR1IPFAT.Cumulative","DR1IPFAT.Skip.to.Item"
"0 to 90.931","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
