"PUD074.Code.or.Value","PUD074.Value.Description","PUD074.Count","PUD074.Cumulative","PUD074.Skip.to.Item"
"1","One time only",405,405,NA
"2","Two or more times",77,482,NA
".","Missing",10557,11039,NA
