"HOQ270.Code.or.Value","HOQ270.Value.Description","HOQ270.Count","HOQ270.Cumulative","HOQ270.Skip.to.Item"
"1","Yes",517,517,NA
"2","No",5793,6310,NA
"7","Refused",0,6310,NA
"9","Don't know",18,6328,NA
".","Missing",4020,10348,NA
