"DXDLALE.Code.or.Value","DXDLALE.Value.Description","DXDLALE.Count","DXDLALE.Cumulative","DXDLALE.Skip.to.Item"
"676.8 to 8370.4","Range of Values",4081,4081,NA
".","Missing",1033,5114,NA
