"CIQP60.Code.or.Value","CIQP60.Value.Description","CIQP60.Count","CIQP60.Cumulative","CIQP60.Skip.to.Item"
"0 to 200","Range of Values",35,35,NA
"777","Refused",0,35,NA
"999","Don't know",0,35,NA
".","Missing",815,850,NA
