"SSDBUP.Code.or.Value","SSDBUP.Value.Description","SSDBUP.Count","SSDBUP.Cumulative","SSDBUP.Skip.to.Item"
"0.04 to 14.3","Range of Values",2314,2314,NA
".","Missing",3,2317,NA
