"CIQG03.Code.or.Value","CIQG03.Value.Description","CIQG03.Count","CIQG03.Cumulative","CIQG03.Skip.to.Item"
"1 to 12","Range of Values",111,111,NA
"77","Refused",0,111,NA
"99","Don't know",0,111,NA
".","Missing",739,850,NA
