"BPXPLS.Code.or.Value","BPXPLS.Value.Description","BPXPLS.Count","BPXPLS.Cumulative","BPXPLS.Skip.to.Item"
"32 to 136","Range of Values",7897,7897,NA
".","Missing",2580,10477,NA
