"DRXTZINC.Code.or.Value","DRXTZINC.Value.Description","DRXTZINC.Count","DRXTZINC.Cumulative","DRXTZINC.Skip.to.Item"
"0 to 585.47","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
