"AUXRR273.Code.or.Value","AUXRR273.Value.Description","AUXRR273.Count","AUXRR273.Cumulative","AUXRR273.Skip.to.Item"
"-64 to 36","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
