"LBDSF2LC.Code.or.Value","LBDSF2LC.Value.Description","LBDSF2LC.Count","LBDSF2LC.Cumulative","LBDSF2LC.Skip.to.Item"
"0","At or above the detection limit",7474,7474,NA
"1","Below lower detection limit",5,7479,NA
".","Missing",1477,8956,NA
