"MCQ160n.Code.or.Value","MCQ160n.Value.Description","MCQ160n.Count","MCQ160n.Cumulative","MCQ160n.Skip.to.Item"
"1","Yes",338,338,NA
"2","No",5222,5560,NA
"7","Refused",0,5560,NA
"9","Don't know",9,5569,NA
".","Missing",3328,8897,NA
