"BIXC016K.Code.or.Value","BIXC016K.Value.Description","BIXC016K.Count","BIXC016K.Cumulative","BIXC016K.Skip.to.Item"
"18.74 to 158.08","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
