"DXXRLBMC.Code.or.Value","DXXRLBMC.Value.Description","DXXRLBMC.Count","DXXRLBMC.Cumulative","DXXRLBMC.Skip.to.Item"
"46.03 to 1136.3","Range of Values",3988,3988,NA
".","Missing",1126,5114,NA
