"LBX146LA.Code.or.Value","LBX146LA.Value.Description","LBX146LA.Count","LBX146LA.Cumulative","LBX146LA.Skip.to.Item"
"1.1 to 116","Range of Values",2299,2299,NA
".","Missing",248,2547,NA
