"SMDUPCA.Code.or.Value","SMDUPCA.Value.Description","SMDUPCA.Count","SMDUPCA.Cumulative","SMDUPCA.Skip.to.Item"
"Cig 12-digit Universal Product Code-UPC","Value was recorded",695,695,NA
"* NO MATCH *","No match",69,764,NA
"< blank >","Missing",6237,7001,NA
