"URD1TBLC.Code.or.Value","URD1TBLC.Value.Description","URD1TBLC.Count","URD1TBLC.Cumulative","URD1TBLC.Skip.to.Item"
"0","At or above the detection limit",942,942,NA
"1","Below lower detection limit",1606,2548,NA
".","Missing",90,2638,NA
