"DSQTPHOS.Code.or.Value","DSQTPHOS.Value.Description","DSQTPHOS.Count","DSQTPHOS.Cumulative","DSQTPHOS.Skip.to.Item"
"0.63 to 500","Range of Values",788,788,NA
".","Missing",9183,9971,NA
