"LBD128LC.Code.or.Value","LBD128LC.Value.Description","LBD128LC.Count","LBD128LC.Cumulative","LBD128LC.Skip.to.Item"
"0","detectable result",5,5,NA
"1","below detectable limit",2293,2298,NA
".","Missing",249,2547,NA
