"BPQ100B.Code.or.Value","BPQ100B.Value.Description","BPQ100B.Count","BPQ100B.Cumulative","BPQ100B.Skip.to.Item"
"1","Yes",950,950,NA
"2","No",187,1137,NA
"7","Refused",0,1137,NA
"9","Don't know",0,1137,NA
".","Missing",5409,6546,NA
