"DXDTRLE.Code.or.Value","DXDTRLE.Value.Description","DXDTRLE.Count","DXDTRLE.Cumulative","DXDTRLE.Skip.to.Item"
"5923.2 to 56097.6","Range of Values",3912,3912,NA
".","Missing",1202,5114,NA
