"DR1IVC.Code.or.Value","DR1IVC.Value.Description","DR1IVC.Count","DR1IVC.Cumulative","DR1IVC.Skip.to.Item"
"0 to 877.3","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
