"VTQ260B.Code.or.Value","VTQ260B.Value.Description","VTQ260B.Count","VTQ260B.Cumulative","VTQ260B.Skip.to.Item"
"1","Yes",1146,1146,NA
"2","No",2190,3336,NA
"7","Refused",0,3336,NA
"9","Don't know",2,3338,NA
".","Missing",407,3745,NA
